"TimeCreated","Id","Message"
"10/14/2025 1:33:05 AM","325","svchost (660,D,35) DS_Token_DB: The database engine created a new database (1, C:\Windows\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSTokenDB2.dat). (Time=0 seconds) 
 
Additional Data: lgposCreate = 00000001:0001:0268,
dbv = 1568.110.240 
 
Internal Timing Sequence: 
[1] 0.000174 +J(0) +M(C:0K, Fs:3, WS:12K # 0K, PF:4K # 4K, P:4K)
[2] 0.004259 -0.000677 (1) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2)
[3] 0.048149 -0.000003 (3) WT +J(0) +M(C:0K, Fs:15, WS:36K # 0K, PF:24K # 28K, P:24K)
[4] 0.088418 -0.045218 (1) WT +J(0) +M(C:0K, Fs:57, WS:228K # 0K, PF:84K # 84K, P:84K)
[5] 0.013034 -0.000767 (2) WT +J(CM:0, PgRf:3, Rd:0/0, Dy:3/6, Lg:122/4) +M(C:8K, Fs:36, WS:140K # 0K, PF:160K # 160K, P:160K)
[6] 0.011740 -0.001057 (1) WT +J(CM:0, PgRf:249, Rd:0/0, Dy:16/428, Lg:28550/465) +M(C:64K, Fs:92, WS:368K # 0K, PF:548K # 548K, P:548K)
[7] 0.026784 -0.022658 (3) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:4096/3) +M(C:0K, Fs:11, WS:36K # 0K, PF:52K # 52K, P:52K)
[8] 0.000005 +J(0)
[9] 0.061907 -0.019034 (3) WT +J(0) +M(C:-40K, Fs:6, WS:-20K # 0K, PF:24K # 60K, P:24K)
[10] 0.187873 -0.078386 (19) CM -0.125118 (26) WT +J(CM:19, PgRf:383, Rd:0/19, Dy:9/93, Lg:12509/130) +M(C:8K, Fs:27, WS:104K # 0K, PF:28K # 0K, P:28K)
[11] 0.000004 +J(0)."
"10/14/2025 1:33:05 AM","105","svchost (660,D,0) DS_Token_DB: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
  
 
Internal Timing Sequence: 
[1] 0.090457 +J(0) +M(C:0K, Fs:222, WS:876K # 0K, PF:3160K # 0K, P:3160K)
[2] 0.044640 +J(0) +M(C:8K, Fs:112, WS:444K # 0K, PF:284K # 204K, P:284K)
[3] 0.000129 +J(0) +M(C:0K, Fs:4, WS:16K # 0K, PF:64K # 64K, P:64K)
[4] 0.004134 +J(0) +M(C:0K, Fs:30, WS:120K # 0K, PF:152K # 152K, P:152K)
[5] 0.006351 +J(0) +M(C:0K, Fs:17, WS:52K # 0K, PF:8K # 16K, P:8K)
[6] 0.097780 +J(0) +M(C:0K, Fs:83, WS:332K # 0K, PF:12K # 4K, P:12K)
[7] -
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.195010 -0.001710 (4) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:87, WS:288K # 0K, PF:8K # 68K, P:8K)
[14] 0.001125 +J(0) +M(C:0K, Fs:4, WS:16K # 0K, PF:8K # 0K, P:8K)
[15] 0.000056 +J(0) +M(C:0K, Fs:17, WS:64K # 0K, PF:68K # 16K, P:68K)
[16] 0.056635 -0.000345 (3) WT +J(0) +M(C:0K, Fs:9, WS:28K # 0K, PF:0K # 4K, P:0K)."
"10/14/2025 1:33:05 AM","102","svchost (660,P,98) DS_Token_DB: The database engine (10.00.19045.0000) is starting a new instance (0)."
"10/14/2025 1:32:49 AM","16394","Offline downlevel migration succeeded."
"10/14/2025 1:17:03 AM","15","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"10/14/2025 1:07:04 AM","15","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"10/14/2025 1:07:02 AM","15","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"10/14/2025 1:02:48 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:48Z. Reason: RulesEngine."
"10/14/2025 1:02:17 AM","16394","Offline downlevel migration succeeded."
"10/14/2025 12:58:37 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:37Z. Reason: RulesEngine."
"10/14/2025 12:58:06 AM","16394","Offline downlevel migration succeeded."
"10/14/2025 12:02:36 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:36Z. Reason: RulesEngine."
"10/14/2025 12:02:04 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 11:39:52 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:52Z. Reason: RulesEngine."
"10/13/2025 11:39:19 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 11:02:24 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:24Z. Reason: RulesEngine."
"10/13/2025 11:01:52 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 10:17:05 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:05Z. Reason: RulesEngine."
"10/13/2025 10:16:35 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 10:02:12 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:12Z. Reason: RulesEngine."
"10/13/2025 10:01:41 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 9:51:33 PM","0","Service stopped."
"10/13/2025 9:02:00 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:00Z. Reason: RulesEngine."
"10/13/2025 9:01:28 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 8:01:48 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:48Z. Reason: RulesEngine."
"10/13/2025 8:01:03 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 7:01:36 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:36Z. Reason: RulesEngine."
"10/13/2025 7:01:04 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 6:01:24 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:24Z. Reason: RulesEngine."
"10/13/2025 6:00:52 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 5:01:12 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:12Z. Reason: RulesEngine."
"10/13/2025 5:00:41 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 4:31:09 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:09Z. Reason: RulesEngine."
"10/13/2025 4:30:39 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 4:01:00 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:00Z. Reason: RulesEngine."
"10/13/2025 4:00:28 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 3:00:47 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:47Z. Reason: RulesEngine."
"10/13/2025 3:00:15 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 2:17:43 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:43Z. Reason: RulesEngine."
"10/13/2025 2:17:13 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 2:00:32 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:32Z. Reason: RulesEngine."
"10/13/2025 2:00:00 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 1:00:20 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:20Z. Reason: RulesEngine."
"10/13/2025 12:59:48 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 12:55:58 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:58Z. Reason: RulesEngine."
"10/13/2025 12:55:27 PM","16394","Offline downlevel migration succeeded."
"10/13/2025 12:00:08 PM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:46:08Z. Reason: RulesEngine."
"10/13/2025 11:59:36 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 11:50:50 AM","0","Service stopped."
"10/13/2025 11:17:32 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:32Z. Reason: RulesEngine."
"10/13/2025 11:17:02 AM","16394","Offline downlevel migration succeeded."
"10/13/2025 10:59:56 AM","16384","Successfully scheduled Software Protection service for re-start at 2025-10-20T00:45:56Z. Reason: RulesEngine."
"10/13/2025 10:59:24 AM","16394","Offline downlevel migration succeeded."
